#######################
   XBIN   YBIN   VEL
  -15.2    3.9  162.3
    7.9  -14.7 -192.8
    0.8  -16.9  -99.2
   -1.4  -17.8  -66.1
   -7.6   13.2  234.1
   -6.2   14.1  214.5
  -10.0   11.6  252.4
    3.2  -16.7 -122.9
   11.3  -12.5 -201.5
  -13.9    7.0  210.8
  -11.4  -12.9   12.4
   -7.6  -15.2  -22.7
    6.5  -16.1 -159.8
   -5.5  -16.4  -46.0
   13.3  -10.5 -195.6
  -13.1    8.9  239.9
   10.2  -13.9 -204.6
    1.7   17.1  115.3
    5.3  -17.3 -137.1
   -4.8   15.4  189.8
  -15.7    6.4  183.1
  -12.3   10.5  258.7
  -13.8  -12.3   37.4
   14.8   -9.6 -177.3
   10.7   13.8   44.7
   -9.4   13.1  246.5
   18.0   -1.2  -83.9
   18.9    2.3  -56.5
   17.3    6.3  -33.7
    7.8   15.3   71.8
   16.2   -8.7 -176.5
  -17.6    1.3  136.7
   18.5   -4.4 -106.3
  -11.0  -15.5   -9.1
  -11.7   12.1  249.7
    5.6   17.4   84.4
   -1.3   18.1  135.4
   13.2  -12.8 -202.2
    9.6  -15.6 -191.9
  -18.1   -5.8   75.0
    2.7  -19.2 -110.2
    8.7  -17.0 -171.3
   14.6   13.8   37.1
  -14.8    8.8  231.1
   -8.8   14.8  233.1
   -7.1   16.0  213.5
  -19.0   -1.4  107.8
   16.0   10.4   13.4
   18.0   -7.1 -135.3
   11.8  -14.5 -198.1
   -4.2  -19.4  -52.0
   14.9  -12.0 -189.3
  -17.5    4.3  170.1
    0.1  -20.2  -88.0
   -4.6   17.6  167.6
  -14.3   11.3  232.7
   -7.8  -18.2  -36.9
  -11.1   14.1  247.1
  -17.0    8.1  193.9
  -13.8   13.5  234.3
   10.3   17.4   57.6
    7.1  -19.0 -145.4
   16.8  -11.1 -178.3
  -19.1    6.2  158.5
   11.3  -16.8 -183.3
   -9.6   16.7  226.6
   18.7   -9.7 -166.7
   13.7  -15.3 -205.7
   15.8  -13.7 -193.9
    4.8  -20.9 -121.3
  -16.6   10.3  220.3
  -11.7   16.2  240.9
   -7.2   18.6  192.8
   22.1    4.5  -37.4
   21.4   -1.8  -78.9
    9.9  -19.2 -167.7
   13.6  -17.5 -191.1
  -20.6    2.6  137.3
    0.6   21.2  125.5
  -21.7   -4.0   98.3
   21.6   -7.0 -109.3
    3.8   21.4  110.5
   -4.3   20.1  155.4
    2.0  -23.7  -99.8
   18.7  -13.4 -172.6
   -1.5  -22.6  -69.1
   15.9  -16.3 -189.7
   -2.2   22.7  135.0
   12.5  -20.0 -180.5
    8.3  -22.1 -130.0
   -9.9   19.4  197.0
  -23.1   -0.5  118.2
   21.4  -11.0 -145.2
   -6.8   22.6  181.7
   25.3   -4.4  -99.5
    5.1  -25.4 -106.4
   11.8  -23.2 -156.8
   18.3  -16.3 -174.0
   15.4  -19.8 -182.3
   26.0    0.8  -56.0
   -2.5   26.3  153.0
    8.2  -27.0 -126.6
